system,nodes,ppn,matrix,backend,solver_time
Tuolumne,4,2,audikw_1,mpi-no-ipc,1.252203
Tuolumne,4,2,Bump_2911,mpi-no-ipc,12.329300
Tuolumne,4,2,Queen_4147,mpi-no-ipc,14.561797
Tuolumne,4,2,Serena,mpi-no-ipc,1.122169
Tuolumne,4,4,audikw_1,mpi-no-ipc,1.452881
Tuolumne,4,4,Bump_2911,mpi-no-ipc,9.965258
Tuolumne,4,4,Queen_4147,mpi-no-ipc,14.030812
Tuolumne,4,4,Serena,mpi-no-ipc,1.126701
Tuolumne,8,1,audikw_1,mpi-no-ipc,0.770031
Tuolumne,8,1,Bump_2911,mpi-no-ipc,5.428625
Tuolumne,8,1,Queen_4147,mpi-no-ipc,11.564921
Tuolumne,8,1,Serena,mpi-no-ipc,0.604333
Tuolumne,8,2,audikw_1,mpi-no-ipc,1.192556
Tuolumne,8,2,Bump_2911,mpi-no-ipc,9.811983
Tuolumne,8,2,Queen_4147,mpi-no-ipc,10.605193
Tuolumne,8,2,Serena,mpi-no-ipc,1.019671
Tuolumne,8,4,audikw_1,mpi-no-ipc,1.103581
Tuolumne,8,4,Bump_2911,mpi-no-ipc,7.918272
Tuolumne,8,4,Queen_4147,mpi-no-ipc,11.255188
Tuolumne,8,4,Serena,mpi-no-ipc,0.873199
Tuolumne,16,1,audikw_1,mpi-no-ipc,0.670728
Tuolumne,16,1,Bump_2911,mpi-no-ipc,4.355487
Tuolumne,16,1,Queen_4147,mpi-no-ipc,6.870674
Tuolumne,16,1,Serena,mpi-no-ipc,0.552591
Tuolumne,16,2,audikw_1,mpi-no-ipc,1.017214
Tuolumne,16,2,Bump_2911,mpi-no-ipc,7.090085
Tuolumne,16,2,Queen_4147,mpi-no-ipc,9.138106
Tuolumne,16,2,Serena,mpi-no-ipc,0.823437
Tuolumne,16,4,audikw_1,mpi-no-ipc,1.030202
Tuolumne,16,4,Bump_2911,mpi-no-ipc,6.774639
Tuolumne,16,4,Queen_4147,mpi-no-ipc,7.949409
Tuolumne,16,4,Serena,mpi-no-ipc,0.797038
Tuolumne,1,1,audikw_1,mpi-no-ipc,2.648786
Tuolumne,1,1,Bump_2911,mpi-no-ipc,22.935827
Tuolumne,1,1,Queen_4147,mpi-no-ipc,57.854218
Tuolumne,1,1,Serena,mpi-no-ipc,1.744767
Tuolumne,1,2,audikw_1,mpi-no-ipc,1.967599
Tuolumne,1,2,Bump_2911,mpi-no-ipc,16.248751
Tuolumne,1,2,Queen_4147,mpi-no-ipc,31.634494
Tuolumne,1,2,Serena,mpi-no-ipc,1.504544
Tuolumne,1,4,audikw_1,mpi-no-ipc,1.468142
Tuolumne,1,4,Bump_2911,mpi-no-ipc,20.111630
Tuolumne,1,4,Queen_4147,mpi-no-ipc,22.618147
Tuolumne,1,4,Serena,mpi-no-ipc,1.581763
Tuolumne,2,1,audikw_1,mpi-no-ipc,1.797579
Tuolumne,2,1,Bump_2911,mpi-no-ipc,13.363929
Tuolumne,2,1,Queen_4147,mpi-no-ipc,31.047573
Tuolumne,2,1,Serena,mpi-no-ipc,1.248020
Tuolumne,2,2,audikw_1,mpi-no-ipc,1.334606
Tuolumne,2,2,Bump_2911,mpi-no-ipc,15.825419
Tuolumne,2,2,Queen_4147,mpi-no-ipc,20.914586
Tuolumne,2,2,Serena,mpi-no-ipc,1.152434
Tuolumne,2,4,audikw_1,mpi-no-ipc,1.495960
Tuolumne,2,4,Bump_2911,mpi-no-ipc,15.359572
Tuolumne,2,4,Queen_4147,mpi-no-ipc,17.567731
Tuolumne,2,4,Serena,mpi-no-ipc,1.336648
Tuolumne,4,1,audikw_1,mpi-no-ipc,1.088471
Tuolumne,4,1,Bump_2911,mpi-no-ipc,9.114643
Tuolumne,4,1,Queen_4147,mpi-no-ipc,17.675427
Tuolumne,4,1,Serena,mpi-no-ipc,0.736891
Tuolumne,4,2,audikw_1,mpi-no-ipc,1.242745
Tuolumne,4,2,Bump_2911,mpi-no-ipc,12.659931
Tuolumne,4,2,Queen_4147,mpi-no-ipc,14.612018
Tuolumne,4,2,Serena,mpi-no-ipc,1.131448
Tuolumne,4,4,audikw_1,mpi-no-ipc,1.459447
Tuolumne,4,4,Bump_2911,mpi-no-ipc,9.925970
Tuolumne,4,4,Queen_4147,mpi-no-ipc,13.645743
Tuolumne,4,4,Serena,mpi-no-ipc,1.141208
