GPU,Backend,Buffering,Iters,Items,Time
MI250,cxi-fine,sb,100000,16384,2.29193
MI250,mpi,db,100000,16384,4.97048
MI250,mpi,sb,100000,16384,4.54159
MI250,cxi-coarse,db,100000,32768,3.07196
MI250,cxi-coarse,sb,100000,32768,3.05389
MI250,cxi-fine,db,100000,32768,2.8447
MI250,cxi-fine,sb,100000,32768,2.80806
MI250,mpi,db,100000,32768,5.30184
MI250,mpi,sb,100000,32768,5.09449
MI250,cxi-coarse,db,100000,65536,4.18661
MI250,cxi-coarse,sb,100000,65536,4.20098
MI250,cxi-fine,db,100000,65536,3.93572
MI250,cxi-fine,sb,100000,65536,3.9426
MI250,mpi,db,100000,65536,6.60305
MI250,mpi,sb,100000,65536,6.20735
MI250,cxi-coarse,db,100000,131072,6.63762
MI250,cxi-coarse,sb,100000,131072,6.62182
MI250,cxi-fine,db,100000,131072,6.3627
MI250,cxi-fine,sb,100000,131072,6.34664
MI250,mpi,db,100000,131072,8.86992
MI250,mpi,sb,100000,131072,8.45271
MI250,cxi-coarse,db,100000,262144,11.144
MI250,cxi-coarse,sb,100000,262144,11.1378
MI250,cxi-fine,db,100000,262144,10.8577
MI250,cxi-fine,sb,100000,262144,10.8456
MI250,mpi,db,100000,262144,13.2535
MI250,mpi,sb,100000,262144,12.9574
MI250,cxi-coarse,db,100000,524288,20.502
MI250,cxi-coarse,sb,100000,524288,20.4609
MI250,cxi-fine,db,100000,524288,20.0552
MI250,cxi-fine,sb,100000,524288,20.0161
MI250,mpi,db,100000,524288,22.4761
MI250,mpi,sb,100000,524288,22.3106
MI250,cxi-coarse,db,10000,1048576,3.89443
MI250,cxi-coarse,sb,10000,1048576,3.89305
MI250,cxi-fine,db,10000,1048576,3.83579
MI250,cxi-fine,sb,10000,1048576,3.8326
MI250,mpi,db,10000,1048576,4.07923
MI250,mpi,sb,10000,1048576,4.05023
MI250,cxi-coarse,db,10000,2097152,7.57275
MI250,cxi-coarse,sb,10000,2097152,7.57348
MI250,cxi-fine,db,10000,2097152,7.50431
MI250,cxi-fine,sb,10000,2097152,7.5057
MI250,mpi,db,10000,2097152,7.74643
MI250,mpi,sb,10000,2097152,7.71823
MI250,cxi-coarse,db,10000,4194304,14.9157
MI250,cxi-coarse,sb,10000,4194304,14.9149
